metric_name,cell_line,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
foreground_psnr,U2-OS,RandomGamma,38,-0.08766510145906331,-0.08765956813308146,0.036228492387928024,0.020226191009838135,0.020226337532042282,1.4652220414745898e-07,1.495469697219986e-07,1.495469920862981e-07,7896,15792
foreground_psnr,U2-OS,RandomGamma,39,-0.09553431981241678,-0.0955595218346875,-0.5220015577330919,0.024018840380465423,0.024049302866491096,3.046248602567303e-05,3.121216606020159e-05,3.121314028991958e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,40,-0.09187447777564263,-0.09177675385185843,0.8429356371975406,0.022361346287365413,0.02244039400484288,7.904771747746508e-05,8.085576115191149e-05,8.086229933467269e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,41,-0.09425201611634763,-0.09417128659722784,-1.2233742429923478,0.023481486710438704,0.023649562625472242,0.0001680759150335387,0.00017211748957769133,0.00017214711910767017,7896,15792
foreground_psnr,U2-OS,RandomGamma,42,-0.09725558346056712,-0.09725735347224847,-0.11849464379672248,0.02375678502336942,0.023758323271926063,1.5382485566428628e-06,1.57568168776434e-06,1.5756841705410334e-06,7896,15792
foreground_psnr,U2-OS,RandomGamma,43,-0.08544189597655397,-0.08542222542751615,0.16467029866108107,0.018864306081474824,0.018867351731565285,3.045650090460761e-06,3.1042088360854963e-06,3.104218472227907e-06,7896,15792
foreground_psnr,U2-OS,RandomGamma,44,-0.08951861428792901,-0.08947646230805141,-1.121053249430142,0.020955660429395007,0.021095330973274873,0.00013967054387986622,0.00014266008007474284,0.0001426804348770075,7896,15792
foreground_psnr,U2-OS,RandomGamma,45,-0.08783984554845582,-0.08789490517436682,0.5117902449332562,0.020086051503439895,0.020115337216573548,2.9285713133653246e-05,2.988600496868634e-05,2.9886898168673507e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,46,-0.09259395775521365,-0.09259886070690214,-0.058085492957832274,0.02270991428888458,0.02271029287862414,3.785897395580662e-07,3.873872712855663e-07,3.8738742135452235e-07,7896,15792
foreground_psnr,U2-OS,RandomGamma,47,-0.08932606458964212,-0.0892652039331523,-0.830644571398331,0.021010524640422634,0.0210878829515585,7.735831113586666e-05,7.901853194841894e-05,7.902477637023527e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,48,-0.08789958024293913,-0.08789303414331849,0.44893273688950386,0.01971596139630738,0.019738284052107424,2.2322655800044444e-05,2.2771620184534092e-05,2.277213874302834e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,49,-0.09323181627783522,-0.09316679944440368,-1.2489385728856544,0.022974852499970222,0.023149093401176768,0.000174240901206546,0.00017833819493017777,0.00017837000511491965,7896,15792
foreground_psnr,U2-OS,RandomGamma,50,-0.09017916619999422,-0.09005468510062237,2.077653305016474,0.021875972982416503,0.022362855613577093,0.00048688263116059005,0.0004977718752550769,0.000498019775492638,7896,15792
foreground_psnr,U2-OS,RandomGamma,51,-0.09241657377199693,-0.09241234703084644,-0.05275639525927611,0.02251550765876853,0.022515818825640244,3.111668717137306e-07,3.18334330776375e-07,3.1833443211315344e-07,7896,15792
foreground_psnr,U2-OS,RandomGamma,52,-0.09254261013418402,-0.09250681440649897,1.125179528640759,0.02182997349810556,0.021969455091223833,0.00013948159311827357,0.00014259442565121722,0.00014261476172125427,7896,15792
foreground_psnr,U2-OS,RandomGamma,53,-0.08509102492371065,-0.08505970620568146,-0.5596593197323758,0.018739924945657127,0.01877464629732828,3.472135167115198e-05,3.538445367730781e-05,3.5385705781174864e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,54,-0.0915960056046139,-0.09159727495861342,0.010817421067173982,0.022683254198264446,0.0226832674004962,1.3202231752273974e-08,1.3508651938060886e-08,1.3508652120544566e-08,7896,15792
foreground_psnr,U2-OS,RandomGamma,55,-0.08882166961902041,-0.08883223449783072,-0.7284966245403437,0.020989350795701744,0.02104828614621912,5.8935350517375085e-05,6.019888605427882e-05,6.020251017832923e-05,7896,15792
foreground_psnr,U2-OS,RandomGamma,56,-0.08777798729074064,-0.08775734348340224,-0.3709457247408625,0.020353028236301696,0.020368597758272267,1.5569521970570932e-05,1.589299249559307e-05,1.5893245086817965e-05,7896,15792
