metric_name,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
ssim,RandomGamma,246,-0.001324564814434982,-0.0013243255760310665,,0.10095934977515775,0.1028314303945499,0.0018720806193921469,0.002082309202508202,0.0020866542618801684,74340,148680
ssim,RandomGamma,247,-0.0013071895954390744,-0.0013069694539941425,,0.09844281212232697,0.09998368720658657,0.0015408750842595964,0.0017091262817025743,0.001712052395447285,74340,148680
ssim,RandomGamma,248,-0.0012964316195605897,-0.0012969184858498636,,0.09604902202853016,0.09736530234952845,0.0013162803209982865,0.0014561412654833484,0.0014582647048961457,74340,148680
ssim,RandomGamma,249,-0.0013122495103861155,-0.0013128138695920539,,0.10005248388579091,0.10132708933833734,0.001274605452546429,0.0014163108733828355,0.0014183196549320484,74340,148680
ssim,RandomGamma,250,-0.0013064908114733885,-0.001305677340413086,,0.09819773695648482,0.09987582345041313,0.0016780864939283102,0.0018608142413225864,0.0018642833262859997,74340,148680
ssim,RandomGamma,251,-0.0012967305192149905,-0.0012972255542816834,,0.0968217881642276,0.09830513206953095,0.0014833439053033581,0.0016423601520328514,0.0016450619362044997,74340,148680
ssim,RandomGamma,252,-0.0012945822704027428,-0.0012943679380986288,,0.09651184500393595,0.09786476854121573,0.001352923537279782,0.0014974446867935705,0.0014996903902002113,74340,148680
ssim,RandomGamma,253,-0.0012989513834750469,-0.0012987729956093674,,0.09657529746361093,0.09788711716498755,0.0013118197013766153,0.0014520520611110658,0.0014541635823379924,74340,148680
ssim,RandomGamma,254,-0.0013007190924865521,-0.0013012217335745385,,0.09768830704778486,0.09989586373604242,0.0022075566882575615,0.0024465566671698553,0.002452556986817568,74340,148680
ssim,RandomGamma,255,-0.001312351335131248,-0.0013120089801820628,,0.10005792372253985,0.102180856922379,0.0021229331998391388,0.0023589664888439103,0.0023645443697735908,74340,148680
ssim,RandomGamma,256,-0.0013256076555878615,-0.0013267148877341157,,0.10181588441900247,0.10333499979610683,0.001519115377104363,0.0016913184621637526,0.0016941838666156598,74340,148680
